1ID,CIL ID,Document Name,Requirements Section,Requirements Text,In Compliance with Contract Documents,Submittal PMT,CP4 Allocations,ICD Status,Comments
1958,IF 1233,30 CP4 IF-REG,1.1.1.1.1 Interface between GEN Reliability & Availability Targets and GWY Infrastructure,"Purpose/Scope:
Ensures that the applicable GEN RAMS targets have been addressed by the INF team, including but not limited to:
- Reliability
- Availability
- ...",,"Design Baseline Report
Report and/or Calculation
Specification",,N/A,Submitted as a N/A interface on 1/10/2018.  Approved 2/9/2018.
1963,IF 6330,30 CP4 IF-REG,2.1.1.1.1 Interface between O&M Universal Crossover Spacing Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the O&M universal crossover spacing requirements have been addressed by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)","60% At-Grade
90% At-Grade
RFC At-Grade
Construction At-Grade",,
1964,IF 6331,30 CP4 IF-REG,2.1.1.1.2 Interface between O&M Station Crossover Spacing Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the O&M station crossover spacing requirements have been addressed by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)","RFC At-Grade
Construction At-Grade",N/A,"Submitted as a N/A interface on 1/10/2018.  Approved 2/9/2018.
ICD missing from Sharepoint"
1967,IF 4355,30 CP4 IF-REG,"2.1.1.2.2 Interface between O&M Maximum Design Speed (Special Trackwork) and GWY Infrastructure
","Purpose/Scope:
Ensures that the O&M maximum design speed (special trackwork) has been applied by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)","90% At-Grade
RFC At-Grade
Construction At-Grade",,
1971,IF 597,30 CP4 IF-REG,"2.1.1.4.1 Interface between O&M Visibility of Wayside/Trackside Equipment Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the O&M visibility of wayside/trackside equipment requirements have been applied by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)","90% At-Grade
RFC At-Grade
Construction At-Grade
60% Structure Type 1
90% Structure Type 1
RFC Structure Type 1
Construction Type 1
RFC Wildlife Crossings",,
1977,IF 843,30 CP4 IF-REG,"2.2.1.2.1 Interface between O&M MoI Walkway Spatial Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the O&M MoI walkway spatial requirements have been addressed by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)","90% At-Grade
RFC At-Grade
Construction At-Grade
60% Structure Type 1
90% Structure Type 1
RFC Structure Type 1
Construction Type 1
RFC Wildlife Crossings",,
1978,IF 912,30 CP4 IF-REG,"2.2.1.2.2 Interface between O&M MoI Access Stairway Spatial Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the O&M MoI access stairway spatial requirements have been addressed by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Open Trench","60% At-Grade
RFC At-Grade
Construction At-Grade
60% Structure Type 1
90% Structure Type 1
RFC Structure Type 1
Construction Type 1
RFC Wildlife Crossings",N/A,"No structures require stairways due to length < 2500 ft. 

Discuss with Simon if needed on guideway"
1983,IF 512,30 CP4 IF-REG,2.2.1.4.1 Interface between O&M MoI Equipment Dynamic Envelope Requirements and GWY Infrastructure,"Purpose/Scope:
Ensures that the O&M MoI equipment dynamic envelope requirements have been addressed by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)","60% At-Grade
90% At-Grade
RFC At-Grade
Construction At-Grade
60% Structure Type 1
90% Structure Type 1
RFC Structure Type 1
Construction Type 1
60% Structure Type 2
90% Structure Type 2
RFC Wildlife Crossings",,
1985,IF 3678,30 CP4 IF-REG,"2.2.1.4.3 Interface between O&M MoI Equipment Dynamic Train-Structure Interaction Analysis and GWY Infrastructure 
","Purpose/Scope:
Ensures that the O&M MoI equipment dynamic train-structure interaction has been addressed by the INF team.1048
",,"Design Baseline Report
Report and/or Calculation
Specification",,N/A,"Submitted as a N/A interface on 1/10/2018.  Approved 2/9/2018.

ICD not in submittal folder on Sharepoint"
1987,IF 2586,30 CP4 IF-REG,"2.2.1.5.1 Interface between O&M MoI CIV Maintainability & Ease of Maintenance Requirements and GWY Infrastructure
","Purpose/Scope:
Ensures that the applicable O&M MoI CIV maintainability & ease of maintenance requirements have been addressed by the INF team.",,"Design Baseline Report
HST At-Grade (Guideway)","CP4
90% At-Grade
RFC At-Grade
Construction At-Grade",,
