1ID,CIL ID,Document Name,Requirements Section,Requirements Text,Submittal PMT,In Compliance with Contract Documents,Reference Document,DCN,Comments,Static of LIVE - Req. Change,Static of LIVE - Appor. To,LIVE - Req. Change,LIVE - Appor. To,CIL Order
44,PHA 161,10 CP4 PHA,1.1.2.1  Collision between HSR trains,"Resolution #1
[1] INF:
Track center spacing exceeds the combined dynamic envelopes of the trains.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,ST-K3001-PON ,ST-K3001-PON affected by DCN 119 rev 0,Dynamic envelopes are shown on the Typical Section, , , , ,44
48,PHA 163,10 CP4 PHA,1.1.2.2  Non-HSR train enters HSR trackway from adjacent exclusive corridor.,"Resolution #1
[1] INF:
Install intrusion prevention measures appropriate to site-specific conditions.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Open Trench",Verified,ST-K1001-PON,,Plan View does not indicate any BNSF facilities or any other Non-HSR facilities adjacent or tangental to the HSR., , ,"DL00024R1:
Overriding text:
The preferred protection is to locate HSR operating infrastructure at a sufficient distance from passenger and freight (conventional) railroad systems to avoid intrusion.  A lateral distance of 102 feet or greater measured between the closest HSR track centerline (TCL) to conventional railroad right-of-way or property line does not require a phsyical barrier for intrusion protection.

DL00024 R2, R3, R4, R5 supersede R1.

DL0024R5:
Overriding Text:
?An earth berm may be constructed directly adjacent to, or in contact with, the high-speed rail embankment only when HSR alignment is on tangent or when BNSF tracks are located on the inside of an HSR horizontal curve (regardless of radius).
• Where BNSF is on the outside of an HSR horizontal curve, the stand-alone berm may be used provided there is sufficient space. It is allowable to reduce the width of the stand-alone earth berm by introducing a retaining wall on the high-speed rail side of the berm.The modified standalone berm shall provide the equivalent resistance to train impact, as demonstrated through calculation as the unmodified stand-alone berm.

RVTMs: 1254, 1256-1263, 1265-1267, 4637, 4639, 18139-18143, 18147-18153, 18155-18162
","DL0024R1:
Entire Segment

DL0024 R2, R3 and R4: entire segment

DL0024R5:
Entire segment",48
76,PHA 183,10 CP4 PHA,1.1.2.10  Trespasser,"Resolution #1
[1] INF:
Install access-restricting fencing. ","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)
",Verified,ST-K1001-PON,,AR Fence is shown on all 4-sides of the HSR structure crossing,"DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
","DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
",76
120,PHA 216,10 CP4 PHA,1.1.4.3  Passing HSR trains affect each other,"Resolution #1
[1] INF:
Establish appropriate track center standards
","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,"ST-K3001-PON
Typical Section",ST-K3001-PON affected by DCN 119 rev 0,TT-D1031, , , , ,120
125,PHA 423,10 CP4 PHA,1.1.4.4  Leak or rupture in hazmat pipeline crossing under or adjacent HSR trackway.,"Resolution #4
[4] INF:
High-risk pipelines shall not be allowed on HSR structures, tunnels, or through trench/sub-grade structures.
","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,"ST-K1002-PON
Plan View and Utility Table",,TT-D1025, , , , ,125
188,PHA 255,10 CP4 PHA,1.2.1.4  Collapse ,"Resolution #1
[1] INF:
Passive bridge support protection measures for adjacent railroads. 
","Design Baseline Report
HST Aerial Structure and/or Bridge",Verified,ST-K1001-PON,,There are no adjacent railroads in this segment., , , , ,188
189,PHA 425,10 CP4 PHA,1.2.1.4  Collapse ,"Resolution #2
[2] INF:
Establish minimum 25 foot setback for bridge piers from center lines of adjacent railways, per AREMA standards.  Resolution #1 applied if 25 ft. setback cannot be achieved.
","Design Baseline Report
HST Aerial Structure and/or Bridge",N/A,N/A,,The bridge does not have piers or bents., , , , ,189
192,PHA 258,10 CP4 PHA,1.2.1.5  Collapse ,"Resolution #2
[2] INF:
Passive bridge support protection measures for adjacent roadways.
","Design Baseline Report
HST Aerial Structure and/or Bridge",Verified,"Calculation Report
Section 2 Structure Description (pg. 4)",,Section 2 Structure Description, , , , ,192
195,PHA 260,10 CP4 PHA,1.2.1.6  Collapse ,"Resolution #2
[2] INF:
Install scour protection.
","Design Baseline Report
HST Aerial Structure and/or Bridge
Specification",N/A,N/A,,No water course below the bridge., , , , ,195
198,PHA 262,10 CP4 PHA,1.2.1.7  Fire on elevated structure,"Resolution #1
[1] INF:
Use of non-flammable materials.
","Design Baseline Report
HST Aerial Structure and/or Bridge
RDW Underpass (HST Overpass)
Specification",Verified,"ST-K0003-PON: Note C. Material Properties, item 7",,, , , , ,198
