1ID,CIL ID,Document Name,Requirements Section,Requirements Text,Submittal PMT,In Compliance with Contract Documents,Reference Document,DCN,Comments,Static of LIVE - Req. Change,Static of LIVE - Appor. To,LIVE - Req. Change,LIVE - Appor. To
18,PHA 139,10 CP4 PHA,1.1.1.3  Roadbed Failure,"Resolution #2
[2] INF:
Install appropriate drainage.","Design Baseline Report
HST At-Grade (Guideway)",Verified,"Grading and Drainage Plans TT-G1047 thru TT-G1065,
CV-G4001-MCA thru CV-G4013-MCA ,  
CV-G4001-S46 thru CV-G4011-S46,
CV-G4001-POS thru CV-G4011-POS,
CV-G4001-JST thru CV-G4002-JST",TT-G1047 to TT-G1052 (affected by DCN 101),,"DL0005: 
Entire segment
DL0005:
Comply with HSR Phase II MS4 General Permit and other regulatory requirements. See letter for details.

RVTM:  1837-1839, 2141","DL0005: 
Entire segment","DL0005: 
Entire segment
DL0005:
Comply with HSR Phase II MS4 General Permit and other regulatory requirements. See letter for details.

RVTM:  1837-1839, 2141","DL0005: 
Entire segment"
21,PHA 141,10 CP4 PHA,1.1.1.4  Washout caused by flooding or scouring,"Resolution #1
[1] INF:
Perform hydraulics analysis and incorporate results into sub-grade design slope protection and setting of profile.","Design Baseline Report
HST At-Grade (Guideway)
Report and/or Calculation
Specification",N/A,N/A,,No Flood plains in this area.," 
 ", ," 
 ", 
23,PHA 143,10 CP4 PHA,1.1.1.4  Washout caused by flooding or scouring,"Resolution #3
[3] INF:
Install culvert or bridge structure where crossing water course.","Design Baseline Report
HST At-Grade (Guideway)",N/A,N/A,,There are no water course in this segment.," 
 ", ," 
 ", 
41,PHA 157,10 CP4 PHA,1.1.1.7  High Winds,"Resolution #4
[4] INF:
Install wind barriers at high-risk locations where need is supported by wind analysis.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Open Trench
RDW Underpass (HST Overpass)
Report and/or Calculation
Specification",N/A,N/A,,There are no high-risk locations in this segment.," 
 ", ," 
 ", 
44,PHA 161,10 CP4 PHA,1.1.2.1  Collision between HSR trains,"Resolution #1
[1] INF:
Track center spacing exceeds the combined dynamic envelopes of the trains.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Underpass (HST Overpass)",Verified,Typical Section TT-B0201 through TT-B0217,TT-B0205 & TT-B0206 (affected by DCN 87),," 
 ", ," 
 ", 
48,PHA 163,10 CP4 PHA,1.1.2.2  Non-HSR train enters HSR trackway from adjacent exclusive corridor.,"Resolution #1
[1] INF:
Install intrusion prevention measures appropriate to site-specific conditions.","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Open Trench",Verified,"TT-B0201 through TT-B0212, TT-B0217 Typical Sections
TT-D1047 through TT-D1062 Plan View","TT-B0205 & TT-B0206 (affected by DCN 87)

TT-D1056 & TT-D1057 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

TT-D1047 to TT-D1052 (affected by DCN 101)",,"DL0024R1:
Entire Segment

DL0024 R2, R3 and R4: entire segment

DL0024R5:
Entire segment
DL00024R1:
Overriding text:
The preferred protection is to locate HSR operating infrastructure at a sufficient distance from passenger and freight (conventional) railroad systems to avoid intrusion.  A lateral distance of 102 feet or greater measured between the closest HSR track centerline (TCL) to conventional railroad right-of-way or property line does not require a phsyical barrier for intrusion protection.

DL00024 R2, R3, R4, R5 supersede R1.

DL0024R5:
Overriding Text:
?An earth berm may be constructed directly adjacent to, or in contact with, the high-speed rail embankment only when HSR alignment is on tangent or when BNSF tracks are located on the inside of an HSR horizontal curve (regardless of radius).
• Where BNSF is on the outside of an HSR horizontal curve, the stand-alone berm may be used provided there is sufficient space. It is allowable to reduce the width of the stand-alone earth berm by introducing a retaining wall on the high-speed rail side of the berm.The modified standalone berm shall provide the equivalent resistance to train impact, as demonstrated through calculation as the unmodified stand-alone berm.

RVTMs: 1254, 1256-1263, 1265-1267, 4637, 4639, 18139-18143, 18147-18153, 18155-18162
","DL0024R1:
Entire Segment

DL0024 R2, R3 and R4: entire segment

DL0024R5:
Entire segment","DL0024R1:
Entire Segment

DL0024 R2, R3 and R4: entire segment

DL0024R5:
Entire segment
DL00024R1:
Overriding text:
The preferred protection is to locate HSR operating infrastructure at a sufficient distance from passenger and freight (conventional) railroad systems to avoid intrusion.  A lateral distance of 102 feet or greater measured between the closest HSR track centerline (TCL) to conventional railroad right-of-way or property line does not require a phsyical barrier for intrusion protection.

DL00024 R2, R3, R4, R5 supersede R1.

DL0024R5:
Overriding Text:
?An earth berm may be constructed directly adjacent to, or in contact with, the high-speed rail embankment only when HSR alignment is on tangent or when BNSF tracks are located on the inside of an HSR horizontal curve (regardless of radius).
• Where BNSF is on the outside of an HSR horizontal curve, the stand-alone berm may be used provided there is sufficient space. It is allowable to reduce the width of the stand-alone earth berm by introducing a retaining wall on the high-speed rail side of the berm.The modified standalone berm shall provide the equivalent resistance to train impact, as demonstrated through calculation as the unmodified stand-alone berm.

RVTMs: 1254, 1256-1263, 1265-1267, 4637, 4639, 18139-18143, 18147-18153, 18155-18162
","DL0024R1:
Entire Segment

DL0024 R2, R3 and R4: entire segment

DL0024R5:
Entire segment"
52,PHA 166,10 CP4 PHA,1.1.2.3  Collision with a highway vehicle at an at-grade crossing ,"Resolution #1
[1] INF:
Grade separations for all public highway crossings at grade in CAHST exclusive corridors. ","Design Baseline Report
HST At-Grade (Guideway)",Verified,TT-D1047 through TT-D1065 Plan Views,"TT-D1056 & TT-D1057 (affected by DCN 87)

TT-D1047 to TT-D1052 (affected by DCN 101)
",No At-Grade Crossings in Section," 
 ", ," 
 ", 
58,PHA 170,10 CP4 PHA,1.1.2.5  Highway vehicle enters the HSR trackway from an adjacent roadway,"Resolution #1
[1] INF:
Install intrusion prevention measures appropriate to site-specific conditions.","Design Baseline Report
HST At-Grade (Guideway)",Verified," TT-B0201 to TT-B0213,TT-B0217","TT-B0205 & TT-B0206 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

",,"DL0024R1:
Entire Segment

DL0024R5:
Entire segment
DL00024R1:
Overriding text:
The preferred protection is to locate HSR operating infrastructure at a sufficient distance from passenger and freight (conventional) railroad systems to avoid intrusion.  A lateral distance of 102 feet or greater measured between the closest HSR track centerline (TCL) to conventional railroad right-of-way or property line does not require a phsyical barrier for intrusion protection.

DL00024 R2, R3, R4, R5 supersede R1.

DL0024R5:
Overriding Text:
?An earth berm may be constructed directly adjacent to, or in contact with, the high-speed rail embankment only when HSR alignment is on tangent or when BNSF tracks are located on the inside of an HSR horizontal curve (regardless of radius).
• Where BNSF is on the outside of an HSR horizontal curve, the stand-alone berm may be used provided there is sufficient space. It is allowable to reduce the width of the stand-alone earth berm by introducing a retaining wall on the high-speed rail side of the berm.The modified standalone berm shall provide the equivalent resistance to train impact, as demonstrated through calculation as the unmodified stand-alone berm.

RVTMs: 1254, 1256-1263, 1265-1267, 4637, 4639, 18139-18143, 18147-18153, 18155-18162
• 
• ","DL0024R1:
Entire Segment

DL0024R5:
Entire segment","DL0024R1:
Entire Segment

DL0024R5:
Entire segment
DL00024R1:
Overriding text:
The preferred protection is to locate HSR operating infrastructure at a sufficient distance from passenger and freight (conventional) railroad systems to avoid intrusion.  A lateral distance of 102 feet or greater measured between the closest HSR track centerline (TCL) to conventional railroad right-of-way or property line does not require a phsyical barrier for intrusion protection.

DL00024 R2, R3, R4, R5 supersede R1.

DL0024R5:
Overriding Text:
?An earth berm may be constructed directly adjacent to, or in contact with, the high-speed rail embankment only when HSR alignment is on tangent or when BNSF tracks are located on the inside of an HSR horizontal curve (regardless of radius).
• Where BNSF is on the outside of an HSR horizontal curve, the stand-alone berm may be used provided there is sufficient space. It is allowable to reduce the width of the stand-alone earth berm by introducing a retaining wall on the high-speed rail side of the berm.The modified standalone berm shall provide the equivalent resistance to train impact, as demonstrated through calculation as the unmodified stand-alone berm.

RVTMs: 1254, 1256-1263, 1265-1267, 4637, 4639, 18139-18143, 18147-18153, 18155-18162
• 
• ","DL0024R1:
Entire Segment

DL0024R5:
Entire segment"
76,PHA 183,10 CP4 PHA,1.1.2.10  Trespasser,"Resolution #1
[1] INF:
Install access-restricting fencing. ","Design Baseline Report
HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)",Verified," TT-B0201 to TT-B0212 ,TT-B0217 Typical sections .

TT-D1047 through TT-D1065 Plan View
","TT-B0205 & TT-B0206 (affected by DCN 87)

TT-D1056 & TT-D1057 (affected by DCN 87)

CV-Y4147 to CV-Y4165 (Drawings added by DCN 92)

TT-B0112a toTT-B0112c (Drawings added by DCN 92)

TT-D1047 to TT-D1052 (affected by DCN 101)
",AR Fence is provided along the ROW  ,"DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
"
77,PHA 184,10 CP4 PHA,1.1.2.10  Trespasser,"Resolution #2
[2] INF/SYS:
Install hardened intrusion-prevention barriers and/or an intrusion detection system at high-risk locations identified by TVA or SiSHA.","HST At-Grade (Guideway)
HST Aerial Structure and/or Bridge
HST Cut & Cover Tunnel
HST Open Trench
RDW Overhead (HST Underpass)
RDW Underpass (HST Overpass)",N/A,N/A,,There are no high-risk locations in this segment.,"DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808
","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment

DL00020:
Installation and construction of AR fencing is NIC however design is still to be included. 

DL00020R3:
DL00020-R3 is a notice to cancel DL00020. Please note DL00020-R1 and DL00020-R2 were created and
ultimately combined into DL00020-R3 during the internal review. 

DL00020R4: DL00020-R4 provides new Directive Drawings (DD-CV-006, DD-CV-920, DD-CV-921).  DL00020-R3 remains unchanged by R4.

RVTM:  1622, 1624, 1629, 1630, 1632, 1634, 1642, 1643, 1645, 1646, 1649, 1651, 1666-1668, 1670, 1671, 1692-1694, 1697, 1700, 1708, 1710-1716, 1718-1720, 1722-1728, 1732, 1733, 1735-1738, 1740-1744, 1750, 1751, 12504, 12505, 13967, 14808
","DL00020:
Entire Segment

DL00020R3:
Entire Segment

DL00020R4: Entire Segment
"
